month,type,invested,cash,top,score
2021-01,annual,1517.6223278045654,0.0,,
2021-02,ordinary,841.0290854317801,630.7718140738351,603986.SH,86.32683279953413
2021-03,ordinary,1308.380105278709,817.7315315642913,300308.SZ,83.62357287078258
2021-04,ordinary,2030.7952106773068,285.2820774177462,603986.SH,82.23004269090475
2021-05,ordinary,1532.2915219641363,260.80672709972805,601611.SH,82.78565710861689
2021-06,ordinary,1219.2023760312557,523.8977661380525,601611.SH,81.41596303684594
2021-07,ordinary,1133.4100995744961,837.7737478776432,601611.SH,81.26557192907677
2021-08,ordinary,864.6911336230014,1398.2425454375034,601611.SH,81.05095025122502
2021-09,ordinary,1917.2458685837814,906.5750326429065,603986.SH,83.1556253988645
2021-10,ordinary,1636.7578209220603,665.9028554891568,002747.SZ,80.88988454839289
2021-11,ordinary,1330.9851404908347,778.6293772908023,002747.SZ,80.36872472642052
2021-12,ordinary,1359.483575820923,778.6293772908018,300124.SZ,79.73140458396644
2022-01,annual,3837.358885561201,778.6293772908,,
2022-02,ordinary,1632.174897878369,493.08576794087367,300124.SZ,82.22175724188163
2022-03,ordinary,1124.5114114291514,742.1132797752721,603259.SH,81.57098507514274
2022-04,ordinary,1950.9940212615757,214.52323686147474,300124.SZ,83.04569002957919
2022-05,ordinary,1154.3789084097039,479.33487830223476,300124.SZ,82.7445826020765
2022-06,ordinary,1143.409722191942,773.0593266425194,300124.SZ,81.66830325445893
2022-07,ordinary,827.57148742676,1330.7705464301148,300124.SZ,80.52868253704712
2022-08,ordinary,1052.1493942706622,1703.256657835722,603259.SH,81.11433850215163
2022-09,ordinary,2013.6286041953354,1095.711542104742,300124.SZ,81.47198881132417
2022-10,ordinary,1445.7698964453264,1000.009738005607,300124.SZ,81.50096656146194
2022-11,ordinary,1614.9946590522718,787.5802244458887,603259.SH,80.49491344448579
2022-12,ordinary,1197.497864512656,1034.7710615628714,603259.SH,80.62343611773974
2023-01,annual,2355.9335207969516,1034.7710615628714,,
2023-02,ordinary,1060.1320617550093,1401.3066900849615,603259.SH,78.81504043271381
2023-03,ordinary,872.0086573561634,1927.4552001634906,002472.SZ,79.95391459593884
2023-04,ordinary,538.9994633662236,2787.4318720511733,002472.SZ,81.730203657982
2023-05,ordinary,561.574825483952,3612.104776822348,603259.SH,81.38979707194785
2023-06,ordinary,682.9413036247333,4327.010505744612,002472.SZ,82.08277818718565
2023-07,ordinary,801.9718792356437,4973.146107511776,603259.SH,80.80953485932775
2023-08,ordinary,1185.2523432149476,5202.366201201736,002472.SZ,79.8713953720015
2023-09,ordinary,2539.335034731296,4054.0138897065235,002747.SZ,80.47382029380199
2023-10,ordinary,1053.0248907005634,4377.360478040384,002747.SZ,81.20503057333707
2023-11,ordinary,1280.2640762034275,4460.760504391277,002747.SZ,81.84078828833076
2023-12,ordinary,786.6480876872988,5076.979257066527,002747.SZ,81.60547755371167
2024-01,annual,4996.900763231729,5076.979257066528,,
2024-02,ordinary,2157.723726707425,4314.815032007052,002472.SZ,81.9189015935012
2024-03,ordinary,601.1763520901393,5096.43944972282,002472.SZ,81.4179173793297
2024-04,ordinary,630.3187419841829,5853.523146856069,002472.SZ,81.84616105680138
2024-05,ordinary,576.4902616476036,6682.192692413665,002472.SZ,81.5948278285236
2024-06,ordinary,903.8558727100567,7200.429448182613,002472.SZ,81.93878180773545
2024-07,ordinary,796.7846845651598,7854.303132681784,002472.SZ,82.18184845841367
2024-08,ordinary,232.15166686417206,9033.389230176132,002472.SZ,81.36691165772474
2024-09,ordinary,1432.216740492098,9050.188345473218,002472.SZ,82.22084340842764
2024-10,ordinary,172.9493054476643,10304.07080996879,002472.SZ,77.54132013393372
2024-11,ordinary,1404.6947479248047,10304.07080996879,300124.SZ,76.43361305487218
2024-12,ordinary,1347.9348819492975,10368.298661097497,300124.SZ,74.77488491149786
2025-01,annual,4927.049050919544,10368.298661097497,,
2025-02,ordinary,1346.7491626739502,10368.298661097497,600276.SH,75.45216136929844
2025-03,ordinary,1163.4154798915463,10563.910423866473,300308.SZ,76.57750478050352
2025-04,ordinary,622.9231255594709,11312.628648099482,300308.SZ,77.22798673817387
2025-05,ordinary,1408.5668563842773,11312.628648099482,300394.SZ,77.45178892037983
2025-06,ordinary,1389.8097038269045,11312.628648099482,300308.SZ,77.48475708009009
2025-07,ordinary,505.2530895579944,12221.744426415633,300308.SZ,73.4019220994663
2025-08,ordinary,1013.2395076099856,12597.159913770247,600406.SH,71.42434327238531
2025-09,ordinary,42.50074733387282,13957.183828454195,600406.SH,73.64172226753641
2025-10,ordinary,42.509382421320424,15317.48406593644,600406.SH,71.01488704523463
2025-11,ordinary,1397.4888324737549,15317.484065936442,600276.SH,72.47590270570326
2025-12,ordinary,1390.5542850494385,15317.484065936442,300124.SZ,73.41162271165774
