year,sector,rank,ticker,name,market_cap_bn_cny
2023,robotics,2,002472.SZ,双环传动,216.42611080999998
2023,robotics,3,002747.SZ,埃斯顿,188.42423888000002
2023,memory,1,603986.SH,兆易创新,683.5006691599999
2023,memory,2,300223.SZ,北京君正,339.21784531000003
2023,memory,3,000021.SZ,深科技,166.82681316
2023,biotech,1,600276.SH,恒瑞医药,2457.82957617
2023,biotech,2,603259.SH,药明康德,2398.01067891
2023,biotech,3,688235.SH,百济神州,1788.3037980999998
2023,cyber,1,300454.SZ,深信服,467.78111586
2023,cyber,2,688561.SH,奇安信,448.61027928
2023,cyber,3,002439.SZ,启明星辰,248.43900271
2023,cpo,1,300308.SZ,中际旭创,216.4999713
2023,cpo,2,300502.SZ,新易盛,120.43297701
2023,cpo,3,002281.SZ,光迅科技,109.75309711
2023,grid,1,600406.SH,国电南瑞,1633.54318479
2023,grid,2,600089.SH,特变电工,777.86422586
2023,grid,3,000400.SZ,许继电气,201.36296361
2023,space,1,600118.SH,中国卫星,254.82640858999997
2023,space,2,600879.SH,航天电子,184.91044731
2023,space,3,001270.SZ,铖昌科技,136.41179412
2023,nuclear,1,003816.SZ,中国广核,1358.41263859
2023,nuclear,2,601985.SH,中国核电,1131.0241054199998
2023,nuclear,3,601611.SH,中国核建,201.25368138
2023,defense,1,600760.SH,中航沈飞,1149.45656676
2023,defense,2,600893.SH,航发动力,1127.01324383
2023,defense,3,002179.SZ,中航光电,942.0703132200001
2024,robotics,1,300124.SZ,汇川技术,1690.0596572099998
2024,robotics,2,688017.SH,绿的谐波,258.91177788
2024,robotics,3,002472.SZ,双环传动,221.92391701000003
2024,memory,1,603986.SH,兆易创新,616.15477492
2024,memory,2,300223.SZ,北京君正,311.33494745999997
2024,memory,3,000021.SZ,深科技,252.97124800999998
2024,biotech,1,600276.SH,恒瑞医药,2885.22272853
2024,biotech,2,603259.SH,药明康德,2160.0702802299998
2024,biotech,3,688235.SH,百济神州,1882.74872379
2024,cyber,1,300454.SZ,深信服,303.46294662
2024,cyber,2,688561.SH,奇安信,274.68560594
2024,cyber,3,002439.SZ,启明星辰,254.79877374
2024,cpo,1,300308.SZ,中际旭创,906.4711053300001
2024,cpo,2,300394.SZ,天孚通信,361.40037831
2024,cpo,3,300502.SZ,新易盛,350.13206362
2024,grid,1,600406.SH,国电南瑞,1792.97296091
2024,grid,2,600089.SH,特变电工,697.27398317
2024,grid,3,000400.SZ,许继电气,223.77444426000002
2024,space,1,600118.SH,中国卫星,305.31869466
2024,space,2,600879.SH,航天电子,254.37597864999998
2024,space,3,001270.SZ,铖昌科技,98.16505756
2024,nuclear,1,003816.SZ,中国广核,1570.50680521
2024,nuclear,2,601985.SH,中国核电,1416.2463650299999
2024,nuclear,3,601611.SH,中国核建,209.20777721
2024,defense,1,600760.SH,中航沈飞,1162.3540545800001
2024,defense,2,600893.SH,航发动力,996.39912616
2024,defense,3,002179.SZ,中航光电,826.8180780600001
2025,robotics,1,300124.SZ,汇川技术,1577.11781693
2025,robotics,2,300024.SZ,机器人,281.02878103
2025,robotics,3,002472.SZ,双环传动,259.41467072
2025,memory,1,603986.SH,兆易创新,709.28454414
2025,memory,2,300223.SZ,北京君正,328.4306793
2025,memory,3,000021.SZ,深科技,297.44799427
2025,biotech,1,600276.SH,恒瑞医药,2927.96204377
2025,biotech,2,688235.SH,百济神州,2228.8229650400003
2025,biotech,3,603259.SH,药明康德,1589.55111713
2025,cyber,1,300454.SZ,深信服,242.14905204
2025,cyber,2,002439.SZ,启明星辰,192.74603528
2025,cyber,3,688561.SH,奇安信,183.83174875
2025,cpo,1,300308.SZ,中际旭创,1384.75275527
2025,cpo,2,300502.SZ,新易盛,819.23872838
2025,cpo,3,300394.SZ,天孚通信,506.10896629
2025,grid,1,600406.SH,国电南瑞,2025.87823247
2025,grid,2,600089.SH,特变电工,643.72577355
2025,grid,3,000400.SZ,许继电气,280.49609727
2025,space,1,600118.SH,中国卫星,322.81953386
2025,space,2,600879.SH,航天电子,295.61722033
2025,space,3,300762.SZ,上海瀚讯,132.06120185
2025,nuclear,1,003816.SZ,中国广核,2085.59263843
2025,nuclear,2,601985.SH,中国核电,1969.5266116300002
2025,nuclear,3,601611.SH,中国核建,272.24277467
2025,defense,1,600760.SH,中航沈飞,1397.69079299
2025,defense,2,600893.SH,航发动力,1104.88881165
2025,defense,3,002179.SZ,中航光电,833.0269286299999
