date,ticker,name,sector,P,V,F,G,D,Q,total,veto,dd52,r1y,rg,pg
2021-02-01,300124.SZ,汇川技术,robotics,30,4.699129665407608,15.0,15.000000000000002,8,5,77.69912966540761,False,0.0671573006339925,2.100423970755704,0.5460424064010609,0.7709076047756289
2021-02-01,002747.SZ,埃斯顿,robotics,30,5.771629062590096,12.375,15.000000000000002,8,5,76.1466290625901,False,0.11684897889242019,1.9064450471120762,0.6254330371924706,0.06793368519769105
2021-02-01,300024.SZ,机器人,robotics,30,16.614527470776082,0.0,0.0,8,5,59.61452747077608,False,0.31430445810422436,-0.17659604851335198,-0.10906870671430124,-0.6553580715635428
2021-02-01,603986.SH,兆易创新,memory,28,24.941791668222443,15.0,15.0,6,5,93.94179166822244,False,0.40134570120595636,0.008349633020813041,0.5294933343718096,0.703428409406758
2021-02-01,300223.SZ,北京君正,memory,28,15.931072166882121,8.0,15.0,6,5,77.93107216688212,False,0.5052289024359955,-0.2375692477277489,2.9006481961847896,-0.7195941673801791
2021-02-01,000021.SZ,深科技,memory,28,20.73117057873953,10.0,15.0,6,5,84.73117057873952,False,0.2746379704214813,0.460235819926037,0.012811024127888704,0.4538189660015288
2021-02-01,600276.SH,恒瑞医药,biotech,26,10.417433372720447,13.125,15.0,10,5,79.54243337272044,False,0.09781812129600476,0.3766662288192455,0.17587884996876935,0.19702041497344847
2021-02-01,603259.SH,药明康德,biotech,26,5.046180276619428,13.125,15.0,10,5,74.17118027661942,False,0.0964696340622192,1.409564521585939,0.2871480159212456,0.17187179966472965
2021-02-01,600196.SH,复星医药,biotech,26,17.732583758994828,12.0,15.0,10,5,85.73258375899482,False,0.39854354700214445,0.7009529974139357,0.0519963110351116,0.3956772728504545
2021-02-01,300454.SZ,深信服,cyber,26,3.7997808654290983,7.0,14.999999999999998,9,5,65.7997808654291,False,0.05619041414548198,1.2544693580534756,0.27559593330946863,-0.14551909550539643
2021-02-01,688561.SH,奇安信,cyber,26,17.907211925897396,6.0,14.999999999999998,9,5,78.9072119258974,False,0.17273403620675798,-0.13897805433101695,,
2021-02-01,002439.SZ,启明星辰,cyber,26,21.360103690691936,11.125,14.999999999999998,9,5,87.48510369069193,False,0.298367783517863,-0.13910579442000637,0.052467508871021584,0.2050653199167045
2021-02-01,300308.SZ,中际旭创,cpo,30,22.550199133424528,15.0,15.0,4,5,91.55019913342453,False,0.28429747988237664,-0.021378981185358303,0.5760989393047196,0.5123877893949456
2021-02-01,002281.SZ,光迅科技,cpo,30,23.942989972886977,12.0,15.0,4,5,89.94298997288698,False,0.298101278657519,-0.17834440424458287,0.10228964950264752,0.43550274119098575
2021-02-01,300502.SZ,新易盛,cpo,30,20.262039241319567,15.0,15.0,4,5,89.26203924131957,False,0.3282951788848085,0.6912367112058218,0.836348231189967,1.6457231676756403
2021-02-01,600406.SH,国电南瑞,grid,26,7.025679313799385,13.125,15.000000000000002,8,5,74.15067931379939,False,0.07658474772233692,0.6200520649263515,0.23744465736192177,0.18858116693116944
2021-02-01,600089.SH,特变电工,grid,26,6.177404415321067,9.375,15.000000000000002,8,5,69.55240441532106,False,0.09957634489600009,0.9669044926709853,0.11200120022999682,0.07291858511619398
2021-02-01,000400.SZ,许继电气,grid,26,23.579308061899532,14.0,15.000000000000002,8,5,91.57930806189954,False,0.2617330875587748,0.17653794734648254,0.2382410568219855,1.1618747385205426
2021-02-01,600118.SH,中国卫星,space,26,17.346948440808628,0.0,15.000000000000002,9,5,72.34694844080863,False,0.28602564255995044,0.3396989142862925,-0.13534461774975037,-0.2516977947726703
2021-02-01,600879.SH,航天电子,space,26,21.307780603799223,0.0,15.000000000000002,9,5,76.30778060379922,False,0.26651950524684254,0.09320831906538385,-0.042385798683974296,-0.031327650470215684
2021-02-01,300762.SZ,上海瀚讯,space,26,11.585208016673354,13.125,15.000000000000002,9,5,79.71020801667336,False,0.14181365125286338,0.40472284382398493,0.21745025382464567,0.15305891527696303
2021-02-01,003816.SZ,中国广核,nuclear,26,22.819117016881144,7.0,15.0,10,5,85.81911701688114,False,0.23894592222043376,-0.22636641861436935,0.188398527927369,-0.02012209695370737
2021-02-01,601985.SH,中国核电,nuclear,26,12.168049845211101,11.125,15.0,10,5,79.2930498452111,False,0.048060470125541155,0.06065548617863947,0.09072626007877971,0.263040049938551
2021-02-01,601611.SH,中国核建,nuclear,26,11.537649942581519,7.0,15.0,10,5,74.53764994258151,False,0.125906455627242,0.18824029675300435,0.20320103653131438,-0.007092338489515071
2021-02-01,600893.SH,航发动力,defense,26,9.07563679376633,14.0,14.999999999999998,9,5,78.07563679376632,False,0.23504459540716738,1.6873494463119982,0.26471024833339185,0.5697266806837302
2021-02-01,600760.SH,中航沈飞,defense,26,8.909761097818748,12.0,14.999999999999998,9,5,75.90976109781874,False,0.203523638298985,1.5144476844471786,0.09542603665463911,0.3499571610372527
2021-02-01,000768.SZ,中航西飞,defense,26,10.465025774873098,9.625,14.999999999999998,9,5,75.0900257748731,False,0.2210272923162071,0.8835197532342216,0.15984868321035628,0.01880639623197289
2021-03-01,300124.SZ,汇川技术,robotics,30,13.744079170674794,15.0,15.000000000000002,8,5,86.7440791706748,False,0.25282518325452985,1.8428231192213018,0.5564832430650082,0.9913080272997437
2021-03-01,002747.SZ,埃斯顿,robotics,30,10.215798695635357,12.375,15.000000000000002,8,5,80.59079869563536,False,0.2345295098513056,1.29821501318977,0.6254270277466059,0.0679334719951541
2021-03-01,300024.SZ,机器人,robotics,30,16.187355219633737,0.0,0.0,8,5,59.18735521963374,False,0.29931106153171894,-0.23585304535075047,-0.06438403446940522,-0.5881991394874062
2021-03-01,603986.SH,兆易创新,memory,28,23.121329097034156,15.0,15.0,6,5,92.12132909703416,False,0.36680916869622116,-0.1514441370508356,0.5294990751441264,0.7034290666406582
2021-03-01,300223.SZ,北京君正,memory,28,15.866603827362617,8.0,15.0,6,5,77.86660382736261,False,0.5340729342909334,-0.442830758258416,2.909278769460222,-0.7145805076198863
